FIELD,YEAR,MONTH,PRODUCTION
A12-FA,2009,JUL,105796.96236574005
A12-FA,2009,JUN,163286.83266445022
A12-FA,2009,MAR,117449.66933182333
A12-FA,2009,MAY,84761.42507272662
A12-FA,2009,NOV,98486.1806884902
A12-FA,2009,OCT,88678.15249970298
A12-FA,2009,SEP,102264.9124584459
A12-FA,2010,APR,87883.226985335
A12-FA,2010,AUG,87143.55012495499
A12-FA,2010,DEC,85839.20152812
A12-FA,2010,FEB,89840.32006214501
A12-FA,2010,JAN,100710.423731235
A12-FA,2010,JUL,86936.69922701
A12-FA,2010,JUN,29811.386266225003
A12-FA,2010,MAR,97068.82128412499
A12-FA,2010,MAY,88639.086241815
A12-FA,2010,NOV,80925.615276375
A12-FA,2010,OCT,82141.999785935
A12-FA,2010,SEP,83612.94055957
A12-FA,2011,APR,75551.55862713
A12-FA,2011,AUG,70268.005245565
A12-FA,2011,DEC,81944.43635965
A12-FA,2011,FEB,66173.65965333
A12-FA,2011,JAN,80925.621605865
A12-FA,2011,JUL,79030.29380230501
A12-FA,2011,JUN,63750.972456865
A12-FA,2011,MAR,73460.87533438
A12-FA,2011,MAY,77424.58974725001
A12-FA,2011,NOV,84016.098480035
A12-FA,2011,OCT,59619.503350865
A12-FA,2011,SEP,60674.487975255004
A12-FA,2012,APR,39524.374770115
A12-FA,2012,AUG,32260.617233920002
A12-FA,2012,DEC,46234.803015935
A12-FA,2012,FEB,59836.592198885
A12-FA,2012,JAN,55903.048355015
A12-FA,2012,JUL,29655.784193895
A12-FA,2012,JUN,45873.043124815
A12-FA,2012,MAR,62040.33284201501
A12-FA,2012,MAY,49008.63343896
A12-FA,2012,NOV,45447.212971169996
A12-FA,2012,OCT,44120.90842844
A12-FA,2012,SEP,35624.76015739
A12-FA,2013,APR,36845.734602115
A12-FA,2013,AUG,37316.69401946
A12-FA,2013,DEC,40825.023780045005
A12-FA,2013,FEB,38116.49681518
A12-FA,2013,JAN,45901.816986355
A12-FA,2013,JUL,33257.99716982
A12-FA,2013,JUN,24189.247366260002
A12-FA,2013,MAR,38386.02654276501
A12-FA,2013,MAY,39339.13697069
A12-FA,2013,NOV,36487.38736102
A12-FA,2013,OCT,28611.17887819
A12-FA,2013,SEP,30389.723371590007
A12-FA,2014,APR,30822.40519816
A12-FA,2014,AUG,39696.861811935
A12-FA,2014,DEC,32371.899162354995
A12-FA,2014,FEB,31891.206044305
A12-FA,2014,JAN,36190.65559524501
A12-FA,2014,JUL,38615.43152341
A12-FA,2014,JUN,16817.465479150003
A12-FA,2014,MAR,35902.430664030006
A12-FA,2014,MAY,29635.77984075
A12-FA,2014,NOV,32562.05286568
A12-FA,2014,OCT,35259.36291935
A12-FA,2014,SEP,33022.948393925006
A12-FA,2015,APR,29381.455657975002
A12-FA,2015,AUG,27427.174984555004
A12-FA,2015,DEC,24062.150152145005
A12-FA,2015,FEB,26411.564007625002
A12-FA,2015,JAN,28348.117889385005
A12-FA,2015,JUL,29634.401066845006
A12-FA,2015,JUN,27439.80337202
A12-FA,2015,MAR,21322.585478150002
A12-FA,2015,MAY,28874.547902175003
A12-FA,2015,NOV,24815.551456675003
A12-FA,2015,OCT,28092.96454342
A12-FA,2015,SEP,15039.295480575
A12-FA,2016,APR,18457.542884565002
A12-FA,2016,AUG,3571.6373195650003
A12-FA,2016,DEC,21836.76581796
A12-FA,2016,FEB,10642.983634335
A12-FA,2016,JAN,14766.03979321
A12-FA,2016,JUL,16820.418186235
A12-FA,2016,JUN,13850.562402995001
A12-FA,2016,MAR,13347.36056359
A12-FA,2016,MAY,14474.50348381
A12-FA,2016,NOV,22339.822079095004
A12-FA,2016,OCT,19501.1375917
A12-FA,2016,SEP,5203.53491407
A12-FA,2017,APR,13413.328618200001
A12-FA,2017,AUG,0.0
A12-FA,2017,DEC,20014.315762259997
A12-FA,2017,FEB,16731.953014335002
A12-FA,2017,JAN,19636.378749615003
A12-FA,2017,JUL,2053.64311727
A12-FA,2017,JUN,11823.657161315
A12-FA,2017,MAR,10784.188226745
A12-FA,2017,MAY,15465.529666665001
A12-FA,2017,NOV,22117.10736938
A12-FA,2017,OCT,14726.556434589998
A12-FA,2017,SEP,6935.653653235
A12-FA,2018,APR,21614.331715635002
A12-FA,2018,AUG,19086.82605494
A12-FA,2018,DEC,17166.050536835
A12-FA,2018,FEB,17098.16148201
A12-FA,2018,JAN,20849.187097325
A12-FA,2018,JUL,21696.40726738
A12-FA,2018,JUN,22210.54752042
A12-FA,2018,MAR,23128.42695209
A12-FA,2018,MAY,20845.399952475
A12-FA,2018,NOV,8469.81548282
A12-FA,2018,OCT,26125.726349055003
A12-FA,2018,SEP,14001.008050805
A12-FA,2019,APR,21654.777156735
A12-FA,2019,AUG,20153.25861691
A12-FA,2019,DEC,26885.5003951
A12-FA,2019,FEB,24299.491258335
A12-FA,2019,JAN,26567.511037160002
A12-FA,2019,JUL,19778.96633559
A12-FA,2019,JUN,25831.90192902
A12-FA,2019,MAR,25772.010184810002
A12-FA,2019,MAY,27186.985607865005
A12-FA,2019,NOV,28133.780259685
A12-FA,2019,OCT,26669.966491790005
A12-FA,2019,SEP,12493.864704200003
A12-FA,2020,APR,25660.737750610002
A12-FA,2020,AUG,23227.914930824998
A12-FA,2020,DEC,13381.730749204999
A12-FA,2020,FEB,26876.145408880002
A12-FA,2020,JAN,28864.188636875002
A12-FA,2020,JUL,23628.886012495
A12-FA,2020,JUN,24739.888733214997
A12-FA,2020,MAR,27353.090413935002
A12-FA,2020,MAY,25883.933501565
A12-FA,2020,NOV,23043.806945365
A12-FA,2020,OCT,21461.9924954
A12-FA,2020,SEP,15136.233729755
A12-FA,2021,APR,23923.321
A12-FA,2021,AUG,37051.239
A12-FA,2021,DEC,0.0
A12-FA,2021,FEB,19160.39
A12-FA,2021,JAN,21815.617000000002
A12-FA,2021,JUL,37692.775
A12-FA,2021,JUN,21203.393
A12-FA,2021,MAR,23004.059
A12-FA,2021,MAY,24033.919
A12-FA,2021,NOV,0.0
A12-FA,2021,OCT,0.0
A12-FA,2021,SEP,21074.416
A18-FA,2015,APR,0.0
A18-FA,2015,AUG,0.0
A18-FA,2015,DEC,537.72182295
A18-FA,2015,FEB,0.0
A18-FA,2015,JAN,0.0
A18-FA,2015,JUL,0.0
A18-FA,2015,JUN,0.0
A18-FA,2015,MAR,0.0
A18-FA,2015,MAY,0.0
A18-FA,2015,NOV,0.0
A18-FA,2015,OCT,0.0
A18-FA,2015,SEP,0.0
A18-FA,2016,APR,54590.130683635005
A18-FA,2016,AUG,13020.834833470002
A18-FA,2016,DEC,54741.19873129499
A18-FA,2016,FEB,41897.036842365
A18-FA,2016,JAN,18002.418796284997
A18-FA,2016,JUL,58935.667361094995
A18-FA,2016,JUN,55599.244439079994
A18-FA,2016,MAR,57450.578067480004
A18-FA,2016,MAY,55808.789589935
A18-FA,2016,NOV,53814.048706605
A18-FA,2016,OCT,54812.64917916
A18-FA,2016,SEP,18371.00082271
A18-FA,2017,APR,64342.254424195
