,YEAR,FIELD,PRODUCTION,pct_share
254,2021,Schoonebeek Olie,2444370.0,0.0
255,2021,Sebaldeburen,0.0,0.0
256,2021,Slootdorp,0.0,0.0
257,2021,Sonnega-Weststellingwerf,1902492.0,0.0
258,2021,Spijkenisse-Intra,27987411.0,0.2
259,2021,Spijkenisse-Oost,14266180.0,0.1
260,2021,Spijkenisse-West,0.0,0.0
261,2021,Sprang,1576015.0,0.0
262,2021,Starnmeer,0.0,0.0
263,2021,Suawoude,0.0,0.0
264,2021,Surhuisterveen,6910432.0,0.0
265,2021,Tietjerksteradeel,56737914.0,0.4
266,2021,Ureterp,3152623.0,0.0
267,2021,Vierhuizen,0.0,0.0
268,2021,Vinkega,11076488.0,0.1
269,2021,Vries,15936170.0,0.1
270,2021,Waalwijk-Noord,5443186.0,0.0
271,2021,Wanneperveen,7820360.0,0.1
272,2021,Warffum,98291210.0,0.7
273,2021,Warga-Wartena,1746296.0,0.0
274,2021,Westbeemster,93434237.0,0.7
275,2021,Weststellingwerf,29746838.0,0.2
276,2021,Wieringa,2973761.0,0.0
277,2021,Witterdiep,0.0,0.0
278,2021,Zevenhuizen,0.0,0.0
279,2021,Zuid-Schermer,0.0,0.0
280,2021,Zuidwal,0.0,0.0
281,2021,Zuidwending-Oost,2641024.0,0.0
